"SITE_ID","DATE"
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR010",NA
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-15
"TR042",2013-06-30
"TR042",2013-06-30
"TR042",2013-06-30
"TR042",2013-06-30
"TR042",2013-07-31
"TR042",2013-07-31
"TR042",2013-07-31
"TR042",2013-07-31
"TR042",2013-07-31
"TR042",2013-07-31
"TR042",2013-08-14
"TR042",2013-10-15
"TR042",2013-10-15
"TR042",2013-10-15
"TR042",2013-10-15
"TR042",2013-10-15
"TR042",2013-10-15
"TR042",2013-10-31
"TR042",2013-11-15
"TR042",2013-11-15
"TR042",2013-11-15
"TR042",2013-12-30
"TR042",2014-03-29
"TR042",2014-05-02
"TR042",2014-06-14
"TR042",2014-06-14
"TR042",2014-06-14
"TR042",2014-07-24
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-10-16
"TR042",2014-11-15
"TR042",2014-11-15
"TR042",2014-11-15
"TR042",2014-11-15
"TR042",2014-11-15
"TR042",2014-12-15
"TR042",2014-12-15
"TR042",2014-12-15
"TR042",2015-02-14
"TR042",2015-05-15
"TR042",2015-06-14
"TR042",2015-10-14
"TR042",2015-10-14
"TR042",2015-10-14
"TR042",2015-11-21
"TR042",2015-11-21
"TR042",2015-11-21
"TR042",2016-01-15
"TR042",2016-01-15
"TR042",2016-01-15
"TR042",2016-01-15
"TR042",2016-01-15
"TR042",2016-02-14
"TR042",2016-04-15
"TR042",2016-05-13
"TR042",2016-05-13
"TR042",2016-05-13
"TR042",2016-06-14
"TR042",2016-06-14
"TR042",2016-06-14
"TR042",2016-07-14
"TR042",2016-07-14
"TR042",2016-09-16
"TR042",2016-10-15
"TR042",2016-10-15
"TR042",2016-10-15
"TR042",2016-10-15
"TR042",2016-11-07
"TR042",2016-11-07
"TR042",2016-11-07
"TR042",2016-11-12
"TR042",2016-11-12
"TR042",2016-11-12
"TR042",2016-11-12
"TR042",2016-11-12
"TR042",2016-12-04
"TR042",2016-12-04
"TR042",2016-12-04
"TR042",2016-12-04
"TR042",2016-12-04
"TR042",2017-01-30
"TR042",2017-02-14
"TR042",2017-02-14
"TR042",2017-02-14
"TR042",2017-02-14
"TR042",2017-02-28
"TR042",2017-03-14
"TR042",2017-03-14
"TR042",2017-04-01
"TR042",2017-04-15
"TR042",2017-04-15
"TR042",2017-04-15
"TR042",2017-04-30
"TR042",2017-04-30
"TR042",2017-05-31
"TR042",2017-05-31
"TR042",2017-05-31
"TR042",2017-05-31
"TR042",2017-05-31
"TR042",2017-05-31
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR042",2017-06-14
"TR067",2016-02-20
"TR067",2016-02-20
"TR067",2016-03-01
"TR067",2016-03-01
"TR067",2016-03-01
"TR067",2016-03-01
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-03-14
"TR067",2016-04-06
"TR067",2016-04-06
"TR067",2016-04-06
"TR067",2016-04-06
"TR067",2016-04-06
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-04-18
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-02
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-10
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-05-18
"TR067",2016-09-26
"TR067",2016-09-26
"TR067",2016-09-26
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-14
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-10-25
"TR067",2016-11-08
"TR067",2016-11-08
"TR067",2016-11-08
"TR067",2016-11-08
"TR067",2016-11-08
"TR067",2016-11-08
"TR067",2016-11-21
"TR067",2016-11-21
"TR067",2016-11-21
"TR067",2016-11-21
"TR067",2016-11-21
"TR067",2016-11-21
"TR067",2017-01-02
"TR067",2017-01-15
"TR067",2017-02-13
"TR067",2017-02-13
"TR067",2017-02-26
"TR067",2017-02-26
"TR067",2017-02-26
"TR067",2017-03-13
"TR067",2017-03-13
"TR067",2017-03-13
"TR067",2017-03-13
"TR067",2017-03-26
"TR067",2017-03-26
"TR067",2017-04-13
"TR067",2017-04-13
"TR067",2017-04-13
"TR067",2017-04-13
"TR067",2017-04-13
"TR067",2017-04-13
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-04-24
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-09
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-05-23
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-05
"TR067",2017-06-20
"TR067",2017-06-20
"TR067",2017-06-20
"TR067",2017-06-20
"TR067",2017-06-20
"TR067",2017-06-20
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-01
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-16
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-04-30
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-14
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-05-28
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
"TR068",2016-06-11
