DATE,DAY,MONTH,YEAR,SITE_ID,SPECIES,COUNT
19/11/2016,19,11,2016,TR009,44,1
26/11/2016,26,11,2016,TR009,44,2
26/11/2016,26,11,2016,TR009,44,1
26/11/2016,26,11,2016,TR009,44,2
03/12/2016,3,12,2016,TR009,44,2
11/02/2017,11,2,2017,TR009,44,1
07/02/2016,7,2,2016,TR060,44,28
07/02/2016,7,2,2016,TR060,44,60
07/02/2016,7,2,2016,TR060,44,25
07/02/2016,7,2,2016,TR060,44,63
07/02/2016,7,2,2016,TR060,44,52
07/02/2016,7,2,2016,TR060,44,80
18/02/2016,18,2,2016,TR060,44,60
18/02/2016,18,2,2016,TR060,44,70
18/02/2016,18,2,2016,TR060,44,50
18/02/2016,18,2,2016,TR060,44,46
18/02/2016,18,2,2016,TR060,44,20
18/02/2016,18,2,2016,TR060,44,70
25/02/2016,25,2,2016,TR060,44,3
25/02/2016,25,2,2016,TR060,44,50
25/02/2016,25,2,2016,TR060,44,5
25/02/2016,25,2,2016,TR060,44,49
25/02/2016,25,2,2016,TR060,44,35
25/02/2016,25,2,2016,TR060,44,10
11/03/2016,11,3,2016,TR060,44,1
11/03/2016,11,3,2016,TR060,44,4
11/03/2016,11,3,2016,TR060,44,5
13/05/2016,13,5,2016,TR060,44,1
30/08/2016,30,8,2016,TR060,44,1
27/09/2016,27,9,2016,TR060,44,1
27/09/2016,27,9,2016,TR060,44,0
27/09/2016,27,9,2016,TR060,44,0
27/09/2016,27,9,2016,TR060,44,1
27/09/2016,27,9,2016,TR060,44,0
27/09/2016,27,9,2016,TR060,44,0
11/10/2016,11,10,2016,TR060,44,2
11/10/2016,11,10,2016,TR060,44,0
11/10/2016,11,10,2016,TR060,44,0
11/10/2016,11,10,2016,TR060,44,0
11/10/2016,11,10,2016,TR060,44,0
11/10/2016,11,10,2016,TR060,44,0
19/10/2016,19,10,2016,TR060,44,1
19/10/2016,19,10,2016,TR060,44,1
19/10/2016,19,10,2016,TR060,44,2
11/11/2016,11,11,2016,TR060,44,2
11/11/2016,11,11,2016,TR060,44,4
11/11/2016,11,11,2016,TR060,44,9
21/11/2016,21,11,2016,TR060,44,2
21/11/2016,21,11,2016,TR060,44,2
07/02/2016,7,2,2016,TR061,44,108
07/02/2016,7,2,2016,TR061,44,90
07/02/2016,7,2,2016,TR061,44,86
07/02/2016,7,2,2016,TR061,44,66
07/02/2016,7,2,2016,TR061,44,54
07/02/2016,7,2,2016,TR061,44,57
18/02/2016,18,2,2016,TR061,44,14
18/02/2016,18,2,2016,TR061,44,42
18/02/2016,18,2,2016,TR061,44,52
18/02/2016,18,2,2016,TR061,44,62
18/02/2016,18,2,2016,TR061,44,50
18/02/2016,18,2,2016,TR061,44,51
25/02/2016,25,2,2016,TR061,44,12
25/02/2016,25,2,2016,TR061,44,15
25/02/2016,25,2,2016,TR061,44,30
25/02/2016,25,2,2016,TR061,44,50
25/02/2016,25,2,2016,TR061,44,50
25/02/2016,25,2,2016,TR061,44,65
11/03/2016,11,3,2016,TR061,44,2
30/03/2016,30,3,2016,TR061,44,1
30/03/2016,30,3,2016,TR061,44,1
30/03/2016,30,3,2016,TR061,44,1
11/11/2016,11,11,2016,TR061,44,1
21/11/2016,21,11,2016,TR061,44,1
31/01/2016,31,1,2016,TR058,44,5
31/01/2016,31,1,2016,TR058,44,5
31/01/2016,31,1,2016,TR058,44,11
31/01/2016,31,1,2016,TR058,44,19
31/01/2016,31,1,2016,TR058,44,20
31/01/2016,31,1,2016,TR058,44,16
07/02/2016,7,2,2016,TR058,44,5
07/02/2016,7,2,2016,TR058,44,35
07/02/2016,7,2,2016,TR058,44,20
07/02/2016,7,2,2016,TR058,44,27
07/02/2016,7,2,2016,TR058,44,28
07/02/2016,7,2,2016,TR058,44,17
18/02/2016,18,2,2016,TR058,44,90
18/02/2016,18,2,2016,TR058,44,30
18/02/2016,18,2,2016,TR058,44,40
18/02/2016,18,2,2016,TR058,44,45
18/02/2016,18,2,2016,TR058,44,50
18/02/2016,18,2,2016,TR058,44,50
25/02/2016,25,2,2016,TR058,44,40
25/02/2016,25,2,2016,TR058,44,73
25/02/2016,25,2,2016,TR058,44,82
25/02/2016,25,2,2016,TR058,44,25
25/02/2016,25,2,2016,TR058,44,55
25/02/2016,25,2,2016,TR058,44,60
11/03/2016,11,3,2016,TR058,44,1
11/11/2016,11,11,2016,TR058,44,1
11/11/2016,11,11,2016,TR058,44,2
11/11/2016,11,11,2016,TR058,44,6
11/11/2016,11,11,2016,TR058,44,3
11/11/2016,11,11,2016,TR058,44,1
21/11/2016,21,11,2016,TR058,44,5
31/01/2016,31,1,2016,TR059,44,7
31/01/2016,31,1,2016,TR059,44,8
31/01/2016,31,1,2016,TR059,44,12
31/01/2016,31,1,2016,TR059,44,14
31/01/2016,31,1,2016,TR059,44,7
31/01/2016,31,1,2016,TR059,44,4
07/02/2016,7,2,2016,TR059,44,96
07/02/2016,7,2,2016,TR059,44,36
07/02/2016,7,2,2016,TR059,44,32
07/02/2016,7,2,2016,TR059,44,47
07/02/2016,7,2,2016,TR059,44,50
07/02/2016,7,2,2016,TR059,44,52
18/02/2016,18,2,2016,TR059,44,50
18/02/2016,18,2,2016,TR059,44,65
18/02/2016,18,2,2016,TR059,44,60
18/02/2016,18,2,2016,TR059,44,35
18/02/2016,18,2,2016,TR059,44,20
18/02/2016,18,2,2016,TR059,44,80
25/02/2016,25,2,2016,TR059,44,25
25/02/2016,25,2,2016,TR059,44,55
25/02/2016,25,2,2016,TR059,44,35
25/02/2016,25,2,2016,TR059,44,40
25/02/2016,25,2,2016,TR059,44,26
25/02/2016,25,2,2016,TR059,44,30
11/03/2016,11,3,2016,TR059,44,1
11/03/2016,11,3,2016,TR059,44,2
11/03/2016,11,3,2016,TR059,44,6
30/03/2016,30,3,2016,TR059,44,1
30/03/2016,30,3,2016,TR059,44,1
13/05/2016,13,5,2016,TR059,44,1
11/11/2016,11,11,2016,TR059,44,1
21/11/2016,21,11,2016,TR059,44,1
21/11/2016,21,11,2016,TR059,44,1
21/11/2016,21,11,2016,TR059,44,1
